"original","companyName"
"METRO 8","Metro AG"
"DA NICO","NICO"
"Switchback LLC","Switchbackr"
"interest","Pinterest"
"Shell","Shel"
"Society6","Society"
"Hideaway House","Hyatt House"
"Jim & Patty's Coffee","Jim's Organic Coffee"
"Liberty Medical","Liberty Media Corporation"
"Peace","CoPeace"
"Propert","PROPER"
"Altered","Alter Eco"
"Lowe's Foods","Lowes Companies, Inc."
"Happy","Happy"
"Kirkwood Wireless","Cricket Wireless LLC"
"Sunday","Sunday"
"Flywheel","Flywheel Group"
"Matterhckrs","Matter Unlimited"
"N Style","Style Coop"
"TST* NORTH","North, Inc."
"Secret","Secret"
"Metro","Metro AG"
"ARCH","Arch"
"Native","Native"
"Secret","Secret"
"Stanley","Stanley"
"76 - LMI 34","LMI"
"The Wonder","8th Wonder Tea"