"amount","date","status","user","merchant"
2.002,"2022-09-22T20:53:22.503Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b49","63079acae33a266250fb9133"
2.6572,"2022-09-20T00:01:27.815Z","confirmed-and-awaiting-vendor-payment","621b99225f87e75f53659b38","63079ac7e33a266250fb83a2"
2.9835,"2022-09-20T18:04:10.203Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b5f","63079ac5e33a266250fb7e2f"
19.305,"2022-09-21T15:01:51.914Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b44","63079ac1e33a266250fb6eaa"
1.04,"2022-09-22T18:54:35.030Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b9c","631b6b1b261f665e63ff644d"
1.3585,"2022-10-04T04:44:19.492Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b49","63079acae33a266250fb9133"
17.0911,"2022-10-13T20:19:39.283Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b5f","631b6b2d261f665e63ff7354"
-3.1551,"2022-10-25T09:05:06.531Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b5f","631b6b2d261f665e63ff7354"
0.6435,"2022-11-11T20:52:51.337Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb89c9"
0.84825,"2022-11-11T20:52:53.994Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb89c9"
0.43875,"2022-11-11T20:52:57.357Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb89c9"
0.73125,"2022-11-11T20:52:58.996Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb89c9"
0.585,"2022-11-11T20:53:02.094Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb89c9"
0.4875,"2022-12-08T19:25:20.194Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b84","63079ac8e33a266250fb89c9"
0.975,"2022-12-08T19:25:23.978Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b84","63079ac8e33a266250fb89c9"
1.1232,"2022-12-23T15:49:42.692Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb87d1"
0.624,"2022-12-23T15:49:47.238Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb87d1"
0.858,"2022-12-23T15:49:54.287Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb87d1"
0.624,"2022-12-23T15:49:59.216Z","confirmed-and-awaiting-vendor-payment","621b99245f87e75f53659bf8","63079ac8e33a266250fb87d1"
3.64,"2022-12-27T22:11:28.666Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b44","631b6b34261f665e63ff79e3"
1.937,"2022-12-27T22:11:34.886Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b44","631b6b34261f665e63ff79e3"
24.7,"2022-12-27T22:11:44.696Z","confirmed-and-awaiting-vendor-payment","621b99235f87e75f53659b44","631b6b34261f665e63ff79e3"